City,State,Arrival Date,Day Number,Miles from Start,Miles from Previous,Change Notes
Key West,FL,2026-02-27,1,0.0,0.0,No change
Miami,FL,2026-03-02,4,181.1,168.8,No change
Fort Lauderdale,FL,2026-03-04,6,259.4,78.3,No change
West Palm Beach,FL,2026-03-05,7,296.2,36.8,No change
Vero Beach,FL,2026-03-07,9,400.6,104.4,No change
Melbourne,FL,2026-03-07,9,405.2,4.6,No change
Titusville,FL,2026-03-08,10,422.0,16.8,No change
Daytona Beach,FL,2026-03-08,10,455.8,33.8,No change
Saint Augustine,FL,2026-03-10,12,501.8,46.0,No change
Gainesville,FL,2026-03-12,14,562.0,60.2,No change
Tallahassee,FL,2026-03-15,17,658.4,96.4,No change
Pensacola,FL,2026-03-20,23,934.6,276.2,No change
Biloxi,MS,2026-03-26,28,1052.8,118.2,No change
Gulfport,MS,2026-03-27,29,1077.3,24.5,No change
Slidell,LA,2026-03-28,30,1121.9,44.6,No change
New Orleans,LA,2026-03-29,31,1169.4,47.5,No change
Baton Rouge,LA,2026-04-01,34,1326.0,156.6,No change
Lafayette,LA,2026-04-02,35,1388.0,62.0,No change
Navasota,TX,2026-04-08,41,1636.0,248.0,No change
Austin,TX,2026-04-11,44,1867.7,231.7,Date moved from Apr 13 to Apr 11 (-2 days)
San Antonio (Schertz),TX,2026-04-12,45,1932.7,65.0,NEW CITY — overnight stop added; 65 miles from Austin
Fredericksburg,TX,2026-04-14,47,2032.7,100.0,Date moved from Apr 15 to Apr 14; miles updated from 1956.7 (+76 due to SA leg); previous leg was Austin direct at 89mi now SA to Fburg at 100mi
Van Horn,TX,2026-04-26,59,2344.3,311.6,Miles updated +76 from Fredericksburg cascade
El Paso,TX,2026-05-01,64,2533.0,188.7,Miles updated +76
Las Cruces,NM,2026-05-06,69,2714.1,181.1,Miles updated +76
Lordsburg,NM,2026-05-11,74,2892.1,178.0,Miles updated +76
Phoenix,AZ,2026-05-20,83,3240.5,348.4,Miles updated +76
Quartzsite,AZ,2026-05-23,86,3355.6,115.1,Miles updated +76
Blythe,CA,2026-05-23,86,3371.0,15.4,Miles updated +76
Indio,CA,2026-05-24,87,3415.5,44.5,Miles updated +76
Palm Springs,CA,2026-05-25,88,3458.4,42.9,Miles updated +76
San Bernardino,CA,2026-05-28,91,3562.8,104.4,Miles updated +76
Fontana,CA,2026-05-29,92,3602.7,39.9,Miles updated +76
Los Angeles,CA,2026-05-31,94,3677.9,75.2,Miles updated +76
Ontario,CA,2026-06-04,98,3839.0,161.1,Miles updated +76
Victorville,CA,2026-06-06,100,3889.7,50.7,Miles updated +76
Barstow,CA,2026-06-06,100,3891.2,1.5,Miles updated +76
Henderson,NV,2026-06-08,102,3986.4,95.2,Miles updated +76
St. George,UT,2026-06-13,107,4179.7,193.3,Miles updated +76
Hurricane,UT,2026-06-19,113,4285.6,105.9,Miles updated +76
Kanab,UT,2026-06-21,115,4354.7,69.1,Miles updated +76
Marble Canyon,AZ,2026-06-21,115,4370.0,15.3,Miles updated +76
Lee's Ferry,AZ,2026-06-21,115,4374.7,4.7,Miles updated +76
Cameron,AZ,2026-06-24,118,4471.3,96.6,Miles updated +76
Flagstaff,AZ,2026-06-26,120,4545.0,67.6,Miles updated +76; final distance rounded to 4545 for memorability (will ride around Flagstaff to reach exact total)
