City,State,Arrival Date,Day Number,Miles from Start,Miles from Previous,Population,Notes
Key West,Florida,2026-02-27,1,0,0,26000,Starting point
Miami,Florida,2026-03-02,4,181.1,168.8,449514,
Fort Lauderdale,Florida,2026-03-04,6,259.4,78.3,182760,
West Palm Beach,Florida,2026-03-05,7,296.2,36.8,117415,
Vero Beach,Florida,2026-03-07,9,400.6,104.4,17163,
Melbourne,Florida,2026-03-07,9,405.2,4.6,84678,
Titusville,Florida,2026-03-08,10,422,16.8,48789,
Daytona Beach,Florida,2026-03-08,10,455.8,33.8,72647,Maintenance day
Saint Augustine,Florida,2026-03-10,12,501.8,46,14329,
Gainesville,Florida,2026-03-12,14,562,60.2,141085,Maintenance day
Tallahassee,Florida,2026-03-15,17,658.4,96.4,196169,
Pensacola,Florida,2026-03-20,23,934.6,276.2,54312,+3 extra days
Biloxi,Mississippi,2026-03-26,28,1052.8,118.2,49449,
Gulfport,Mississippi,2026-03-27,29,1077.3,24.5,72926,
Slidell,Louisiana,2026-03-28,30,1121.9,44.6,28781,
New Orleans,Louisiana,2026-03-29,31,1169.4,47.5,383997,
Baton Rouge,Louisiana,2026-04-01,34,1326,156.6,227470,
Navasota,Texas,2026-04-08,41,1636,310,7786,
Austin,Texas,2026-04-13,46,1867.7,231.7,961855,
Fredericksburg,Texas,2026-04-15,48,1956.7,89,11216,Extended rest (3 days)
Van Horn,Texas,2026-04-26,59,2268.3,311.6,1930,
El Paso,Texas,2026-05-01,64,2457,188.7,678815,
Las Cruces,New Mexico,2026-05-06,69,2638.1,181.1,111385,
Lordsburg,New Mexico,2026-05-11,74,2816.1,178,2797,
Phoenix,Arizona,2026-05-20,83,3164.5,348.4,1608139,
Quartzsite,Arizona,2026-05-23,86,3279.6,115.1,3677,
Blythe,California,2026-05-23,86,3295,15.4,18317,
Indio,California,2026-05-24,87,3339.5,44.5,89137,
Palm Springs,California,2026-05-25,88,3382.4,42.9,44575,
San Bernardino,California,2026-05-28,91,3486.8,104.4,222101,
Fontana,California,2026-05-29,92,3526.7,39.9,208393,
Los Angeles,California,2026-05-31,94,3601.9,75.2,3898747,
Ontario,California,2026-06-04,98,3763,161.1,175265,
Victorville,California,2026-06-06,100,3813.7,50.7,134810,
Barstow,California,2026-06-06,100,3815.2,1.5,24829,
Henderson,Nevada,2026-06-08,102,3910.4,95.2,320189,
St. George,Utah,2026-06-13,107,4103.7,193.3,95342,Extended rest (3 days)
Hurricane,Utah,2026-06-19,113,4209.6,105.9,20036,
Kanab,Utah,2026-06-21,115,4278.7,69.1,4700,
Marble Canyon,Arizona,2026-06-21,115,4294,15.3,50,
Lee's Ferry,Arizona,2026-06-21,115,4298.7,4.7,0,
Cameron,Arizona,2026-06-24,118,4395.3,96.6,885,
Flagstaff,Arizona,2026-06-26,120,4462.9,67.6,76831,Final destination
